,Date,Open,High,Low,Close,Adj Close,Volume,Amplitude
112,2020-06-16,92387.0,95216.0,92387.0,93531.0,93531.0,12034200.0,2829.0
113,2020-06-17,93531.0,96611.0,93531.0,95547.0,95547.0,11134700.0,3080.0
114,2020-06-18,95547.0,97110.0,94698.0,96125.0,96125.0,10008500.0,2412.0
115,2020-06-19,96138.0,97540.0,95874.0,96572.0,96572.0,13134400.0,1666.0
116,2020-06-22,96572.0,96870.0,94869.0,95336.0,95336.0,8264700.0,2001.0
117,2020-06-23,95344.0,97486.0,95344.0,95975.0,95975.0,9752700.0,2142.0
118,2020-06-24,95974.0,95974.0,93259.0,94377.0,94377.0,9962700.0,2715.0
119,2020-06-25,94382.0,96260.0,94152.0,95983.0,95983.0,8697900.0,2108.0
120,2020-06-26,95979.0,95979.0,93514.0,93834.0,93834.0,8439100.0,2465.0
121,2020-06-29,93837.0,95735.0,93825.0,95735.0,95735.0,8906800.0,1910.0
122,2020-06-30,95728.0,96257.0,94806.0,95056.0,95056.0,10144500.0,1451.0
123,2020-07-01,95062.0,96852.0,95062.0,96203.0,96203.0,10163300.0,1790.0
124,2020-07-02,96206.0,97864.0,96052.0,96235.0,96235.0,10062900.0,1812.0
125,2020-07-03,96237.0,96765.0,95803.0,96765.0,96765.0,5351600.0,962.0
126,2020-07-06,96776.0,99257.0,96768.0,98937.0,98937.0,9489400.0,2489.0
127,2020-07-07,98937.0,98938.0,97272.0,97761.0,97761.0,8951400.0,1666.0
128,2020-07-08,97765.0,99973.0,97765.0,99770.0,99770.0,9142700.0,2208.0
129,2020-07-09,99770.0,100191.0,98861.0,99160.0,99160.0,0.0,1330.0
130,2020-07-10,99160.0,100101.0,98739.0,100032.0,100032.0,9147200.0,1362.0
131,2020-07-13,100027.0,100858.0,98697.0,98697.0,98697.0,10382300.0,2161.0
132,2020-07-14,98699.0,100632.0,98289.0,100440.0,100440.0,10019400.0,2343.0
133,2020-07-15,100444.0,102114.0,100444.0,101791.0,101791.0,9285600.0,1670.0
134,2020-07-16,101791.0,101792.0,100160.0,100553.0,100553.0,8127100.0,1632.0
135,2020-07-17,100554.0,103017.0,100554.0,102888.0,102888.0,10429400.0,2463.0
136,2020-07-20,102888.0,104439.0,102744.0,104426.0,104426.0,8931800.0,1695.0
137,2020-07-21,104426.0,105449.0,103732.0,104310.0,104310.0,11105800.0,1717.0
